,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,SE_STUR_NUC,SE_STUR_NUC,942.0,10.0,SE,STUR,NUC,0.34,24,24,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
1,1,SE_COMC_GAS,SE_COMC_GAS,13384.591283887457,3.0,SE,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
2,2,SE_GTUR_GAS,SE_GTUR_GAS,61.84615384615383,26.0,SE,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25.0,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
3,3,SE_STUR_OIL,SE_STUR_OIL,347.50000000000006,8.0,SE,STUR,OIL,0.33,5,5,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
4,4,SE_HDAM_WAT,SE_HDAM_WAT,10198.0,1.0,SE,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,30694000.0,0.0,0.0,0.89
5,5,SE_HPHS_WAT,SE_HPHS_WAT,109.0,1.0,SE,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,654.0,0.0,109.0,0.89
6,6,SE_HROR_WAT,SE_HROR_WAT,8117.000000000001,1.0,SE,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,SE_WTOF_WIN,SE_WTOF_WIN,140.0,1.0,SE,WTOF,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,SE_WTON_WIN,SE_WTON_WIN,107341.0,1.0,SE,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
9,9,SE_PHOT_SUN,SE_PHOT_SUN,52929.0,1.0,SE,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
10,10,SE_BATS_OTH,SE_BATS_OTH,25242.0,1.0,SE,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,60402.0,0.0,25242.0,0.89
11,11,SE_BEVS_OTH,SE_BEVS_OTH,10635.0,1.0,SE,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,113053.05,0.0,10635.0,0.94
12,12,SE_P2HT_OTH,SE_P2HT_OTH,18863.0,1.0,SE,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0010176067162044,5.0,0.00016957240251569208,6.7828953490356074e-06,94315.0,0.03,,
13,13,SE_P2GS_HYD,SE_P2GS_HYD,4671.0,1.0,SE,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,13616.0,0.0,116392.0,0.72
14,14,SE_STUR_BIO_CHP,SE_STUR_BIO_CHP,170.66666666666666,15.0,SE,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4551.11111111111,0.03,,
15,15,SE_ICEN_GAS_CHP,SE_ICEN_GAS_CHP,9.963302752293576,109.0,SE,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,159.41284403669727,0.03,,
