PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
1914,Claus,NL,COMC,GAS,0.525,5,1,0.005835945699999999,0.005835945699999999,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
1554,Eemshaven 1,NL,STUR,HRD,0.395,8,6,0.0032175032,0.0032175032,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
1326,Eemshaven 2,NL,COMC,GAS,0.525,5,1,0.0084238311,0.0084238311,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
1090,Hemweg,NL,STUR,HRD,0.395,8,6,0.004587155999999999,0.004587155999999999,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
1070,Maasvlakte,NL,STUR,HRD,0.395,8,6,0.0046728972,0.0046728972,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
869,Velsen,NL,COMC,GAS,0.525,5,1,0.012853855,0.012853855,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
864,Sloecentrale,NL,COMC,GAS,0.525,5,1,0.012928240700000001,0.012928240700000001,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
860,Enecogen,NL,COMC,GAS,0.525,5,1,0.0129883721,0.0129883721,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
840,Rijnmond,NL,COMC,GAS,0.525,5,1,0.013297618999999998,0.013297618999999998,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
774,Moerdijk,NL,COMC,GAS,0.525,5,1,0.014431524499999999,0.014431524499999999,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
731,MVL380 CR10,NL,STUR,HRD,0.395,8,6,0.006839945300000001,0.006839945300000001,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
684,Diemen,NL,COMC,GAS,0.525,5,1,0.0163304094,0.0163304094,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
643,Amer,NL,STUR,HRD,0.395,8,6,0.007776049799999999,0.007776049799999999,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
66,Maasvlakte 1,NL,STUR,HRD,0.395,8,6,0.0757575758,0.0757575758,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
66,Maasvlakte 2,NL,STUR,HRD,0.395,8,6,0.0757575758,0.0757575758,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,,
492,Borssele 30,NL,STUR,NUC,0.405,24,24,0.0069715446999999995,0.0069715446999999995,200000.0,0,0,0.9,0.405,72,0.0,,,,,,,,,,
456,TNZ150 ELSTA,NL,COMC,GAS,0.525,5,1,0.024495614,0.024495614,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
437,LLS150FL-5,NL,COMC,GAS,0.525,5,1,0.025560640699999998,0.025560640699999998,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435,LLS380 FL-4,NL,COMC,GAS,0.525,5,1,0.0256781609,0.0256781609,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
427,Rijnmond II,NL,COMC,GAS,0.525,5,1,0.0261592506,0.0261592506,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
