,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,CH_STUR_GEO,CH_STUR_GEO,33.0,4.0,CH,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,CH_COMC_GAS,CH_COMC_GAS,936.6401846846524,14.0,CH,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
2,2,CH_STUR_BIO,CH_STUR_BIO,157.74999999999997,4.0,CH,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,,,,,,,,,,,
3,3,CH_HDAM_WAT,CH_HDAM_WAT,10138.000000000002,1.0,CH,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,5732197.1,0.0,0.0,0.89
4,4,CH_HPHS_WAT,CH_HPHS_WAT,946.0,1.0,CH,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,5676.000000000001,0.0,946.0,0.89
5,5,CH_HROR_WAT,CH_HROR_WAT,3456.0000000000005,1.0,CH,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
6,6,CH_WTON_WIN,CH_WTON_WIN,12900.0,1.0,CH,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,CH_PHOT_SUN,CH_PHOT_SUN,39855.99999999999,1.0,CH,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,CH_BATS_OTH,CH_BATS_OTH,3491.0,1.0,CH,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,12938.0,0.0,3491.0,0.89
9,9,CH_BEVS_OTH,CH_BEVS_OTH,9299.0,1.0,CH,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,99041.04,0.0,9299.0,0.94
10,10,CH_P2HT_OTH,CH_P2HT_OTH,13981.0,1.0,CH,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.1269487750556797,5.0,0.07512998500371193,0.0,69905.0,0.03,,
11,11,CH_P2GS_HYD,CH_P2GS_HYD,3837.0,1.0,CH,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,42081.0,0.0,29371.0,0.72
12,12,CH_STUR_BIO_CHP,CH_STUR_BIO_CHP,130.0,3.0,CH,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3466.666666666666,0.03,,
13,13,CH_ICEN_GAS_CHP,CH_ICEN_GAS_CHP,9.928571428571429,14.0,CH,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,158.85714285714286,0.03,,
