,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
CH_STUR_GEO,CH_STUR_GEO,33.0,4.0,CH,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
CH_COMC_GAS,CH_COMC_GAS,404.2857142857143,14.0,CH,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
CH_STUR_BIO,CH_STUR_BIO,157.74999999999997,4.0,CH,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,,,,,,,,,,,,
CH_HDAM_WAT,CH_HDAM_WAT,8303.0,1,CH,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,5732197.1,0.0,0.0,0.9,
CH_HPHS_WAT,CH_HPHS_WAT,1835.0000000000002,1,CH,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,9175.000000000002,0.0,1835.0000000000002,0.9,
CH_HROR_WAT,CH_HROR_WAT,3456.000000000001,1,CH,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
CH_WTON_WIN,CH_WTON_WIN,12900.0,1,CH,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
CH_PHOT_SUN,CH_PHOT_SUN,39855.99999999999,1,CH,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
CH_BATS_OTH,CH_BATS_OTH,969722.2222222222,1,CH,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,3593888.888888889,0.0,0.0,0.9,
CH_BEVS_OTH,CH_BEVS_OTH,36261.0,1,CH,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,148670.09999999998,0.0,36261.0,0.88,
CH_P2GS_HYD,CH_P2GS_HYD,3837.0,1,CH,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.0,0.46,0.0,0.0,,,,,,,,11689166.666666668,0.0,29371.0,0.7,
CH_STUR_BIO_CHP,CH_STUR_BIO_CHP,130.0,3.0,CH,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3466.666666666666,0.03,,,
CH_COMC_GAS_CHP,CH_COMC_GAS_CHP,139.0,1.0,CH,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,1755.7894736842106,0.03,,,
