,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
SI_STUR_LIG,SI_STUR_LIG,250.0,1.0,SI,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
SI_STUR_NUC,SI_STUR_NUC,800.0,2.0,SI,STUR,NUC,0.34,24,24,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
SI_COMC_GAS,SI_COMC_GAS,11.65909090909091,1.0,SI,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
SI_ICEN_GAS,SI_ICEN_GAS,7.670454545454546,2.0,SI,ICEN,GAS,0.36,0,0,1.0,1.0,0,0.0,0.0,0.3,0.49,0.0,0.0076,,,,,,,,,,,
SI_HDAM_WAT,SI_HDAM_WAT,932.0000000000001,1,SI,HDAM,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,2600.0,0.0,0.0,0.89
SI_HPHS_WAT,SI_HPHS_WAT,1130.0,1,SI,HPHS,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,5650.0,0.0,1130.0,0.89
SI_HROR_WAT,SI_HROR_WAT,192.0,1,SI,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SI_WTON_WIN,SI_WTON_WIN,3574.0,1,SI,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SI_PHOT_SUN,SI_PHOT_SUN,9221.0,1,SI,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
SI_BATS_OTH,SI_BATS_OTH,1262222.2222222225,1,SI,BATS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,5048888.88888889,0.0,1262222.2222222225,0.89
SI_BEVS_OTH,SI_BEVS_OTH,7167.0,1,SI,BEVS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,32158.329,0.0,7167.0,0.89
SI_P2HT_OTH,SI_P2HT_OTH,1503.9999999999995,1,SI,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.2930927193528317,5.0,0.08620618129018585,0.0,7519.999999999998,0.03,,
SI_P2GS_HYD,SI_P2GS_HYD,0.0,1,SI,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,3452777.777777778,0.0,10633.0,0.72
SI_STUR_BIO_CHP,SI_STUR_BIO_CHP,120.33333333333333,3.0,SI,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3208.8888888888887,0.03,,
SI_COMC_GAS_CHP,SI_COMC_GAS_CHP,26.34090909090909,1.0,SI,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,332.72727272727275,0.03,,
SI_ICEN_GAS_CHP,SI_ICEN_GAS_CHP,8.664772727272728,4.0,SI,ICEN,GAS,0.36,0,0,1.0,1.0,0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,138.63636363636365,0.03,,
