,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
DE_STUR_GEO,DE_STUR_GEO,39.12,25.0,DE,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
DE_STUR_LIG,DE_STUR_LIG,546.1428571428571,7.0,DE,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
DE_COMC_GAS,DE_COMC_GAS,418.66438356164383,292.0,DE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
DE_STUR_OIL,DE_STUR_OIL,116.0,1.0,DE,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
DE_HDAM_WAT,DE_HDAM_WAT,1166.0,1,DE,HDAM,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1735630.76,0.0,0.0,0.89
DE_HPHS_WAT,DE_HPHS_WAT,275.0,1,DE,HPHS,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1375.0,0.0,275.0,0.89
DE_HROR_WAT,DE_HROR_WAT,3618.0,1,DE,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
DE_WTOF_WIN,DE_WTOF_WIN,105572.0,1,DE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
DE_WTON_WIN,DE_WTON_WIN,118380.00000000001,1,DE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
DE_PHOT_SUN,DE_PHOT_SUN,347990.0,1,DE,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
DE_BATS_OTH,DE_BATS_OTH,42117500.0,1,DE,BATS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,168470000.0,0.0,42117500.0,0.89
DE_P2HT_OTH,DE_P2HT_OTH,0.0029999999433769973,35321334.0,DE,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.4875277723948024,5.0,0.09916858482632016,0.0,0.014999999716884987,0.03,,
DE_P2GS_HYD,DE_P2GS_HYD,6592.0,1,DE,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,131691388.8888889,0.0,368457.0,0.72
DE_STUR_BIO_CHP,DE_STUR_BIO_CHP,176.87719298245614,57.0,DE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4716.72514619883,0.03,,
DE_COMC_GAS_CHP,DE_COMC_GAS_CHP,383.2,5.0,DE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4840.421052631578,0.03,,
