,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
UK_STUR_BIO,159.1436211844508,UK_STUR_BIO,UK,STUR,BIO,0.35,4,6,0.02,0.02,65,,0,0.5,0.35,,0.0,,,,,,,2.0
UK_COMC_GAS,414.0198210517344,UK_COMC_GAS,UK,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,60.0
UK_GTUR_GAS,60.13424818315307,UK_GTUR_GAS,UK,GTUR,GAS,0.425,0,0,0.166666666666667,0.166666666666667,0,0.0,0,0.2,0.425,0.166666666666667,0.564705882352941,,,,,,,11.0
UK_ICEN_GAS,9.680959145715956,UK_ICEN_GAS,UK,ICEN,GAS,0.49,0,0,1.0,1.0,0,0.0,0,0.3,0.49,0.0,0.489795918367347,,,,,,,13.0
UK_STUR_GAS,106.86899169923895,UK_STUR_GAS,UK,STUR,GAS,0.38,0,0,0.02,0.02,0,0.0,0,0.4,0.38,0.0,0.0,,,,,,,2.0
UK_STUR_HRD,731.6666666666666,UK_STUR_HRD,UK,STUR,HRD,0.46,8,8,0.0177777777777778,0.0177777777777778,65,0.0,0,0.3,0.46,2.0,0.81,,,,,,,21.0
UK_STUR_NUC,997.8888888888889,UK_STUR_NUC,UK,STUR,NUC,1.0,24,24,0.00333333333333333,0.00333333333333333,300,0.0,0,0.5,1.0,12.0,0.0,,,,,,,9.0
UK_PHOT_SUN,11500.0,UK_PHOT_SUN,UK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
UK_HPHS_WAT,2744.0,UK_HPHS_WAT,UK,HPHS,WAT,0.8,0,0,0.0666666666666667,0.0666666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,13720.0,0.0,2744.0,0.8,1
UK_WTOF_WIN,5000.0,UK_WTOF_WIN,UK,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
UK_WTON_WIN,10000.0,UK_WTON_WIN,UK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
UK_STUR_OTH,149.84178498985804,UK_STUR_OTH,UK,STUR,OTH,0.3,4,4,0.02,0.02,65,0.0,0,0.5,0.3,0.0,0.0,,,,,,,29.0
