,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
NO_COMC_GAS,NO_COMC_GAS,373.3458816869516,8.0,NO,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
NO_COMC_CCS_GAS,NO_COMC_CCS_GAS,500.61647325219354,2.0,NO,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
NO_HDAM_WAT,NO_HDAM_WAT,21233.0,1,NO,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,76191000.0,0.0,0.0,0.89
NO_HPHS_WAT,NO_HPHS_WAT,4000.0,1,NO,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,24000.0,0.0,4000.0,0.89
NO_HROR_WAT,NO_HROR_WAT,5989.0,1,NO,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NO_WTON_WIN,NO_WTON_WIN,71741.0,1,NO,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NO_PHOT_SUN,NO_PHOT_SUN,30365.0,1,NO,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NO_BATS_OTH,NO_BATS_OTH,3888888.888888889,1,NO,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,15555555.555555556,0.0,3888888.888888889,0.89
NO_BEVS_OTH,NO_BEVS_OTH,14408.5,1,NO,BEVS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,64650.9395,0.0,14408.5,0.89
NO_P2HT_OTH,NO_P2HT_OTH,19018.0,1,NO,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0443515253637885,5.0,0.0073919047278677335,0.0002956764790990117,95090.0,0.03,,
NO_P2GS_HYD,NO_P2GS_HYD,1197.0,1,NO,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,2105000.0,0.0,89651.0,0.72
NO_STUR_BIO_CHP,NO_STUR_BIO_CHP,167.8181818181818,11.0,NO,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4475.151515151515,0.03,,
