,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
EE_COMC_CCS_GAS,EE_COMC_CCS_GAS,23.0,1.0,EE,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
EE_STUR_GAS,EE_STUR_GAS,119.33333333333333,24.0,EE,STUR,GAS,0.368,1,1,0.02,0.02,25.0,2.9,0.25,0.4,0.38,0.166666667,0.531963913,,,,,,,,,,,
EE_WTON_WIN,EE_WTON_WIN,8745.0,1,EE,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
EE_PHOT_SUN,EE_PHOT_SUN,4692.0,1,EE,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
EE_BATS_OTH,EE_BATS_OTH,1062777.7777777778,1,EE,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,4251111.111111111,0.0,1062777.7777777778,0.89
EE_BEVS_OTH,EE_BEVS_OTH,3937.5,1,EE,BEVS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,17667.5625,0.0,3937.5,0.89
EE_P2HT_OTH,EE_P2HT_OTH,1376.0,1,EE,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1853893866299103,5.0,0.025375561002518587,0.000867751237363363,6880.0,0.03,,
EE_P2GS_HYD,EE_P2GS_HYD,1331.0,1,EE,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,1296388.888888889,0.0,7199.0,0.72
EE_STUR_BIO_CHP,EE_STUR_BIO_CHP,123.0,1.0,EE,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3280.0,0.03,,
EE_COMC_CCS_GAS_CHP,EE_COMC_CCS_GAS_CHP,1.0675441634915137,1.0,EE,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,Extraction,0.95,0.213,,,,,13.484768380945438,0.03,,
EE_STUR_GAS_CHP,EE_STUR_GAS_CHP,66.46622791825425,2.0,EE,STUR,GAS,0.368,1,1,0.02,0.02,25.0,2.9,0.25,0.4,0.38,0.166666667,0.531963913,Extraction,0.4666,0.23,,,,,1709.3757715796205,0.03,,
